2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,
2, 0, 0, 0, 1, 1, 1, 0, 0, 0, 2,
2, 0, 0, 0, 1, 6, 1, 0, 0, 0, 2,
2, 0, 0, 0, 1, 1, 1, 0, 7, 0, 2,
2, 0, 0, 0, 1, 1, 1, 0, 0, 0, 2,
2, 0, 0, 0, 1, 1, 1, 0, 0, 0, 2,
2, 0, 0, 0, 1, 7, 1, 0, 0, 0, 2,
2, 0, 0, 0, 1, 1, 1, 0, 0, 0, 2,
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,
2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,
;
;1
;4
~
2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,
2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 2,
2, 0, 1, 6, 1, 1, 1, 1, 1, 0, 2,
2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 2,
2, 0, 1, 1, 1, 7, 1, 6, 1, 0, 2,
2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 2,
2, 0, 1, 7, 1, 1, 1, 1, 1, 0, 2,
2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 2,
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,
2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,
;
;3
;4
